FID IID Height
2016 1017 0.79689005963434
365 1018 -1.35678082591552
1445 1019 0.482987741284772
1223 1020 0.113929332056005
3916 1021 1.03412155634164
1752 1022 1.38643046780153
581 1023 -1.33588197652342
2017 1024 -0.667210996942627
2017 1025 NA
366 1026 0.595611357251081
49 1027 -0.696994311556483
367 1028 -1.12261900936548
306 1029 -0.0106785486849828
2512 1030 -1.03931806765144
50 1031 -0.233831393069273
212 1032 -1.29039871621099
1703 1033 -0.943987686282484
3046 1034 1.79620690434853
1658 1035 -0.820700955790591
3580 1036 0.592970678888509
153 1037 -0.805325529998726
2513 1038 0.193053952484562
1446 1039 -1.35678082591552
2018 1040 0.0270409807651801
3445 1041 1.92453276310816
3581 1042 -0.70987104461267
1975 1043 1.48940988287478
851 1044 0.786235235403789
851 1045 NA
2019 1046 -0.32637457182294
2217 1047 NA
2217 1048 -0.152722990855006
3582 1049 0.919186506167416
3446 1050 0.566877594707526
1976 1051 -1.07081089880883
3583 1052 NA
2966 1053 -1.09865047981612
1305 1054 -0.295847104490996
825 1055 -1.21127409578243
2514 1056 -0.652921248945084
2662 1057 -1.36938097206117
3330 3263 0.508433057398932
1753 1058 NA
1753 1059 NA
1753 1060 NA
1753 1061 -0.938406076268315
3917 1062 1.94447112703733
1059 1063 -0.703169742251712
3166 1064 -1.24000785832599
368 1065 0.130678829824881
2020 1066 1.12911230697601
1977 1067 -1.61202268616668
1185 1068 -1.09865047981612
326 1069 -0.00714079242482812
2967 1070 0.442269713966538
275 1071 0.904748442606452
3584 1072 -0.609749422840564
3047 1073 0.643548416349797
369 1074 -0.0817659595922953
1978 1075 0.300912335456674
3167 1076 0.0392777846281556
3167 1077 NA
2311 1078 -1.43652132771505
3585 1079 NA
3585 1080 -0.765544864911392
2021 1081 0.979429255557432
2022 1082 0.60759562202576
1447 1083 2.01668890328695
370 1084 1.02935632334744
1593 1085 -0.698404509257515
154 1086 0.27449000712103
687 1 0.272178572913119
245 2 -2.06677976320047
1754 3 -1.1205224404412
1754 4 NA
2346 5 -1.12320792107419
2387 6 0.0779765377319678
2515 7 NA
2515 8 0.4582339961238
2023 9 -0.248597109052439
1594 10 2.63864863552592
371 11 0.490206773065254
2024 12 -1.30945964818778
2025 13 -0.392408286348588
3985 14 1.45111702466912
3586 15 0.37512935831266
213 16 -0.034647078234341
2026 17 0.31747901415378
2026 18 NA
3587 19 -0.332486962475193
3587 20 NA
852 21 -0.434232954795052
2347 22 0.775236313083212
3168 23 NA
3168 24 0.277725180176128
1755 25 -1.07527086197547
1756 26 0.446249731349121
1756 27 NA
853 28 -1.24246165711227
1704 29 0.661966497293345
3048 30 0.523705768603006
372 31 -1.47662347366231
3588 32 -1.24000785832599
3447 33 1.06331910898019
3589 34 NA
3589 35 NA
3589 36 0.0300394786332514
2663 37 -0.266485655793032
666 38 -0.516329103429417
1630 39 -1.33562054388987
3448 40 -1.25292726298172
2516 41 0.451800179954932
854 42 NA
854 43 1.2286175143721
788 44 0.0684460717435739
3142 45 -0.468295072622858
1283 46 0.672282178893352
2664 47 1.45588225766332
373 48 -0.351003195370194
3986 49 0.84745712537804
3590 50 0.255286710565869
2968 51 -0.62649892060944
2517 52 0.82807762096418
214 53 -0.640936984170405
2910 3422 2.12931251925326
2518 54 NA
